DATE,LOCAL.TIME..SENSOR.,COUNTLINENAME,DIRECTION,CAR,PEDESTRIAN,CYCLIST,MOTORBIKE,BUS,OGV1,OGV2,LGV,DAY
2021-05-12T00:00:00Z,2021-05-12T01:00:00Z,LBS15_ButterHill_Road_S53,in,2123,58,140,36,4,10,0,466,Wed
2021-05-12T00:00:00Z,2021-05-12T01:00:00Z,LBS15_ButterHill_Crossing_S53,out,1,167,40,2,0,1,0,0,Wed
2021-05-12T00:00:00Z,2021-05-12T01:00:00Z,LBS15_ButterHill_Path_LHS_S53,out,0,151,5,0,0,0,0,0,Wed
2021-05-12T00:00:00Z,2021-05-12T01:00:00Z,LBS15_ButterHill_Path_RHS_S53,out,0,379,14,2,0,0,0,0,Wed
2021-05-12T00:00:00Z,2021-05-12T01:00:00Z,LBS15_ButterHill_Road_S53,out,2038,23,119,44,12,9,0,312,Wed
2021-05-13T00:00:00Z,2021-05-13T01:00:00Z,LBS15_ButterHill_Crossing_S53,in,5,181,19,0,0,0,0,0,Thu
2021-05-13T00:00:00Z,2021-05-13T01:00:00Z,LBS15_ButterHill_Path_LHS_S53,in,5,102,2,0,0,0,0,0,Thu
2021-05-13T00:00:00Z,2021-05-13T01:00:00Z,LBS15_ButterHill_Path_RHS_S53,in,2,370,10,4,0,0,0,1,Thu
2021-05-13T00:00:00Z,2021-05-13T01:00:00Z,LBS15_ButterHill_Road_S53,in,2132,57,84,40,4,4,0,481,Thu
2021-05-13T00:00:00Z,2021-05-13T01:00:00Z,LBS15_ButterHill_Crossing_S53,out,2,171,23,0,0,0,0,1,Thu
2021-05-13T00:00:00Z,2021-05-13T01:00:00Z,LBS15_ButterHill_Path_LHS_S53,out,0,131,3,0,0,0,0,0,Thu
2021-05-13T00:00:00Z,2021-05-13T01:00:00Z,LBS15_ButterHill_Path_RHS_S53,out,0,315,7,1,0,0,0,0,Thu
2021-05-13T00:00:00Z,2021-05-13T01:00:00Z,LBS15_ButterHill_Road_S53,out,1971,19,72,37,19,2,0,331,Thu
2021-05-14T00:00:00Z,2021-05-14T01:00:00Z,LBS15_ButterHill_Crossing_S53,in,3,226,14,1,0,0,0,3,Fri
2021-05-14T00:00:00Z,2021-05-14T01:00:00Z,LBS15_ButterHill_Path_LHS_S53,in,7,121,2,0,0,0,0,0,Fri
2021-05-14T00:00:00Z,2021-05-14T01:00:00Z,LBS15_ButterHill_Path_RHS_S53,in,2,427,15,5,0,0,0,0,Fri
2021-05-14T00:00:00Z,2021-05-14T01:00:00Z,LBS15_ButterHill_Road_S53,in,2243,64,103,77,8,8,0,473,Fri
2021-05-14T00:00:00Z,2021-05-14T01:00:00Z,LBS15_ButterHill_Crossing_S53,out,0,215,19,2,0,0,0,0,Fri
