UTC Time,Local Time (Sensor),countlineId,countlineName,direction,Car,Motorbike,Bus,OGV1,OGV2,LGV
11/10/2021 00:50,11/10/2021 01:50,22932,LBS15_ButterHill_Path_RHS_S53,in,0,0,0,0,0,0
11/10/2021 00:50,11/10/2021 01:50,22932,LBS15_ButterHill_Path_RHS_S53,out,0,0,0,0,0,0
11/10/2021 00:50,11/10/2021 01:50,22931,LBS15_ButterHill_Road_S53,in,0,0,0,0,0,0
11/10/2021 00:50,11/10/2021 01:50,22931,LBS15_ButterHill_Road_S53,out,0,0,0,0,0,0
11/10/2021 00:55,11/10/2021 01:55,22933,LBS15_ButterHill_Crossing_S53,in,0,0,0,0,0,0
11/10/2021 00:55,11/10/2021 01:55,22933,LBS15_ButterHill_Crossing_S53,out,0,0,0,0,0,0
11/10/2021 00:55,11/10/2021 01:55,22930,LBS15_ButterHill_Path_LHS_S53,in,0,0,0,0,0,0
11/10/2021 00:55,11/10/2021 01:55,22930,LBS15_ButterHill_Path_LHS_S53,out,0,0,0,0,0,0
11/10/2021 00:55,11/10/2021 01:55,22932,LBS15_ButterHill_Path_RHS_S53,in,0,0,0,0,0,0
11/10/2021 00:55,11/10/2021 01:55,22932,LBS15_ButterHill_Path_RHS_S53,out,0,0,0,0,0,0
11/10/2021 00:55,11/10/2021 01:55,22931,LBS15_ButterHill_Road_S53,in,0,0,0,0,0,0
11/10/2021 00:55,11/10/2021 01:55,22931,LBS15_ButterHill_Road_S53,out,0,0,0,0,0,0
11/10/2021 01:00,11/10/2021 02:00,22933,LBS15_ButterHill_Crossing_S53,in,0,0,0,0,0,0
11/10/2021 01:00,11/10/2021 02:00,22933,LBS15_ButterHill_Crossing_S53,out,0,0,0,0,0,0
11/10/2021 01:00,11/10/2021 02:00,22930,LBS15_ButterHill_Path_LHS_S53,in,0,0,0,0,0,0
11/10/2021 01:00,11/10/2021 02:00,22930,LBS15_ButterHill_Path_LHS_S53,out,0,0,0,0,0,0
11/10/2021 01:00,11/10/2021 02:00,22932,LBS15_ButterHill_Path_RHS_S53,in,0,0,0,0,0,0
11/10/2021 01:00,11/10/2021 02:00,22932,LBS15_ButterHill_Path_RHS_S53,out,0,0,0,0,0,0
11/10/2021 01:00,11/10/2021 02:00,22931,LBS15_ButterHill_Road_S53,in,0,0,0,0,0,0
11/10/2021 01:00,11/10/2021 02:00,22931,LBS15_ButterHill_Road_S53,out,0,0,0,0,0,0
11/10/2021 01:05,11/10/2021 02:05,22933,LBS15_ButterHill_Crossing_S53,in,0,0,0,0,0,0
11/10/2021 01:05,11/10/2021 02:05,22933,LBS15_ButterHill_Crossing_S53,out,0,0,0,0,0,0
11/10/2021 01:05,11/10/2021 02:05,22930,LBS15_ButterHill_Path_LHS_S53,in,0,0,0,0,0,0
11/10/2021 01:05,11/10/2021 02:05,22930,LBS15_ButterHill_Path_LHS_S53,out,0,0,0,0,0,0
11/10/2021 01:05,11/10/2021 02:05,22932,LBS15_ButterHill_Path_RHS_S53,in,0,0,0,0,0,0
11/10/2021 01:05,11/10/2021 02:05,22932,LBS15_ButterHill_Path_RHS_S53,out,0,0,0,0,0,0
11/10/2021 01:05,11/10/2021 02:05,22931,LBS15_ButterHill_Road_S53,in,0,0,0,0,0,0
11/10/2021 01:05,11/10/2021 02:05,22931,LBS15_ButterHill_Road_S53,out,0,0,0,0,0,0
11/10/2021 01:10,11/10/2021 02:10,22933,LBS15_ButterHill_Crossing_S53,in,0,0,0,0,0,0
11/10/2021 01:10,11/10/2021 02:10,22933,LBS15_ButterHill_Crossing_S53,out,0,0,0,0,0,0
11/10/2021 01:10,11/10/2021 02:10,22930,LBS15_ButterHill_Path_LHS_S53,in,0,0,0,0,0,0
11/10/2021 01:10,11/10/2021 02:10,22930,LBS15_ButterHill_Path_LHS_S53,out,0,0,0,0,0,0
11/10/2021 01:10,11/10/2021 02:10,22932,LBS15_ButterHill_Path_RHS_S53,in,0,0,0,0,0,0
11/10/2021 01:10,11/10/2021 02:10,22932,LBS15_ButterHill_Path_RHS_S53,out,0,0,0,0,0,0
11/10/2021 01:10,11/10/2021 02:10,22931,LBS15_ButterHill_Road_S53,in,0,0,0,0,0,0
11/10/2021 01:10,11/10/2021 02:10,22931,LBS15_ButterHill_Road_S53,out,0,0,0,0,0,0
11/10/2021 01:15,11/10/2021 02:15,22933,LBS15_ButterHill_Crossing_S53,in,0,0,0,0,0,0
11/10/2021 01:15,11/10/2021 02:15,22933,LBS15_ButterHill_Crossing_S53,out,0,0,0,0,0,0
11/10/2021 01:15,11/10/2021 02:15,22930,LBS15_ButterHill_Path_LHS_S53,in,0,0,0,0,0,0
11/10/2021 01:15,11/10/2021 02:15,22930,LBS15_ButterHill_Path_LHS_S53,out,0,0,0,0,0,0
11/10/2021 01:15,11/10/2021 02:15,22932,LBS15_ButterHill_Path_RHS_S53,in,0,0,0,0,0,0
11/10/2021 01:15,11/10/2021 02:15,22932,LBS15_ButterHill_Path_RHS_S53,out,0,0,0,0,0,0
11/10/2021 01:15,11/10/2021 02:15,22931,LBS15_ButterHill_Road_S53,in,0,0,0,0,0,0
11/10/2021 01:15,11/10/2021 02:15,22931,LBS15_ButterHill_Road_S53,out,1,0,0,0,0,0
11/10/2021 01:20,11/10/2021 02:20,22933,LBS15_ButterHill_Crossing_S53,in,0,0,0,0,0,0
11/10/2021 01:20,11/10/2021 02:20,22933,LBS15_ButterHill_Crossing_S53,out,0,0,0,0,0,0
11/10/2021 01:20,11/10/2021 02:20,22930,LBS15_ButterHill_Path_LHS_S53,in,0,0,0,0,0,0
11/10/2021 01:20,11/10/2021 02:20,22930,LBS15_ButterHill_Path_LHS_S53,out,0,0,0,0,0,0
11/10/2021 01:20,11/10/2021 02:20,22932,LBS15_ButterHill_Path_RHS_S53,in,0,0,0,0,0,0
11/10/2021 01:20,11/10/2021 02:20,22932,LBS15_ButterHill_Path_RHS_S53,out,0,0,0,0,0,0
11/10/2021 01:20,11/10/2021 02:20,22931,LBS15_ButterHill_Road_S53,in,0,0,0,0,0,0
11/10/2021 01:20,11/10/2021 02:20,22931,LBS15_ButterHill_Road_S53,out,0,0,0,0,0,0
11/10/2021 01:25,11/10/2021 02:25,22933,LBS15_ButterHill_Crossing_S53,in,0,0,0,0,0,0
11/10/2021 01:25,11/10/2021 02:25,22933,LBS15_ButterHill_Crossing_S53,out,0,0,0,0,0,0
11/10/2021 01:25,11/10/2021 02:25,22930,LBS15_ButterHill_Path_LHS_S53,in,0,0,0,0,0,0
11/10/2021 01:25,11/10/2021 02:25,22930,LBS15_ButterHill_Path_LHS_S53,out,0,0,0,0,0,0
11/10/2021 01:25,11/10/2021 02:25,22932,LBS15_ButterHill_Path_RHS_S53,in,0,0,0,0,0,0
11/10/2021 01:25,11/10/2021 02:25,22932,LBS15_ButterHill_Path_RHS_S53,out,0,0,0,0,0,0
11/10/2021 01:25,11/10/2021 02:25,22931,LBS15_ButterHill_Road_S53,in,0,0,0,0,0,0
11/10/2021 01:25,11/10/2021 02:25,22931,LBS15_ButterHill_Road_S53,out,0,0,0,0,0,0
11/10/2021 01:30,11/10/2021 02:30,22933,LBS15_ButterHill_Crossing_S53,in,0,0,0,0,0,0
11/10/2021 01:30,11/10/2021 02:30,22933,LBS15_ButterHill_Crossing_S53,out,0,0,0,0,0,0
11/10/2021 01:30,11/10/2021 02:30,22930,LBS15_ButterHill_Path_LHS_S53,in,0,0,0,0,0,0
11/10/2021 01:30,11/10/2021 02:30,22930,LBS15_ButterHill_Path_LHS_S53,out,0,0,0,0,0,0
11/10/2021 01:30,11/10/2021 02:30,22932,LBS15_ButterHill_Path_RHS_S53,in,0,0,0,0,0,0
11/10/2021 01:30,11/10/2021 02:30,22932,LBS15_ButterHill_Path_RHS_S53,out,0,0,0,0,0,0
11/10/2021 01:30,11/10/2021 02:30,22931,LBS15_ButterHill_Road_S53,in,0,0,0,0,0,0
11/10/2021 01:30,11/10/2021 02:30,22931,LBS15_ButterHill_Road_S53,out,0,0,0,0,0,0
11/10/2021 01:35,11/10/2021 02:35,22933,LBS15_ButterHill_Crossing_S53,in,0,0,0,0,0,0
11/10/2021 01:35,11/10/2021 02:35,22933,LBS15_ButterHill_Crossing_S53,out,0,0,0,0,0,0
11/10/2021 01:35,11/10/2021 02:35,22930,LBS15_ButterHill_Path_LHS_S53,in,0,0,0,0,0,0
11/10/2021 01:35,11/10/2021 02:35,22930,LBS15_ButterHill_Path_LHS_S53,out,0,0,0,0,0,0
11/10/2021 01:35,11/10/2021 02:35,22932,LBS15_ButterHill_Path_RHS_S53,in,0,0,0,0,0,0
11/10/2021 01:35,11/10/2021 02:35,22932,LBS15_ButterHill_Path_RHS_S53,out,0,0,0,0,0,0
11/10/2021 01:35,11/10/2021 02:35,22931,LBS15_ButterHill_Road_S53,in,0,0,0,0,0,0
11/10/2021 01:35,11/10/2021 02:35,22931,LBS15_ButterHill_Road_S53,out,0,0,0,0,0,0
11/10/2021 01:40,11/10/2021 02:40,22933,LBS15_ButterHill_Crossing_S53,in,0,0,0,0,0,0
11/10/2021 01:40,11/10/2021 02:40,22933,LBS15_ButterHill_Crossing_S53,out,0,0,0,0,0,0
11/10/2021 01:40,11/10/2021 02:40,22930,LBS15_ButterHill_Path_LHS_S53,in,0,0,0,0,0,0
11/10/2021 01:40,11/10/2021 02:40,22930,LBS15_ButterHill_Path_LHS_S53,out,0,0,0,0,0,0
11/10/2021 01:40,11/10/2021 02:40,22932,LBS15_ButterHill_Path_RHS_S53,in,0,0,0,0,0,0
11/10/2021 01:40,11/10/2021 02:40,22932,LBS15_ButterHill_Path_RHS_S53,out,0,0,0,0,0,0
11/10/2021 01:40,11/10/2021 02:40,22931,LBS15_ButterHill_Road_S53,in,0,0,0,0,0,0
11/10/2021 01:40,11/10/2021 02:40,22931,LBS15_ButterHill_Road_S53,out,0,0,0,0,0,0
11/10/2021 01:45,11/10/2021 02:45,22933,LBS15_ButterHill_Crossing_S53,in,0,0,0,0,0,0
11/10/2021 01:45,11/10/2021 02:45,22933,LBS15_ButterHill_Crossing_S53,out,0,0,0,0,0,0
11/10/2021 01:45,11/10/2021 02:45,22930,LBS15_ButterHill_Path_LHS_S53,in,0,0,0,0,0,0
11/10/2021 01:45,11/10/2021 02:45,22930,LBS15_ButterHill_Path_LHS_S53,out,0,0,0,0,0,0
11/10/2021 01:45,11/10/2021 02:45,22932,LBS15_ButterHill_Path_RHS_S53,in,0,0,0,0,0,0
11/10/2021 01:45,11/10/2021 02:45,22932,LBS15_ButterHill_Path_RHS_S53,out,0,0,0,0,0,0
11/10/2021 01:45,11/10/2021 02:45,22931,LBS15_ButterHill_Road_S53,in,0,0,0,0,0,0
11/10/2021 01:45,11/10/2021 02:45,22931,LBS15_ButterHill_Road_S53,out,0,0,0,0,0,0
11/10/2021 01:50,11/10/2021 02:50,22933,LBS15_ButterHill_Crossing_S53,in,0,0,0,0,0,0
11/10/2021 01:50,11/10/2021 02:50,22933,LBS15_ButterHill_Crossing_S53,out,0,0,0,0,0,0
11/10/2021 01:50,11/10/2021 02:50,22930,LBS15_ButterHill_Path_LHS_S53,in,0,0,0,0,0,0
11/10/2021 01:50,11/10/2021 02:50,22930,LBS15_ButterHill_Path_LHS_S53,out,0,0,0,0,0,0
11/10/2021 01:50,11/10/2021 02:50,22932,LBS15_ButterHill_Path_RHS_S53,in,0,0,0,0,0,0
11/10/2021 01:50,11/10/2021 02:50,22932,LBS15_ButterHill_Path_RHS_S53,out,0,0,0,0,0,0
11/10/2021 01:50,11/10/2021 02:50,22931,LBS15_ButterHill_Road_S53,in,0,0,0,0,0,0
11/10/2021 01:50,11/10/2021 02:50,22931,LBS15_ButterHill_Road_S53,out,0,0,0,0,0,0
11/10/2021 01:55,11/10/2021 02:55,22933,LBS15_ButterHill_Crossing_S53,in,0,0,0,0,0,0
11/10/2021 01:55,11/10/2021 02:55,22933,LBS15_ButterHill_Crossing_S53,out,0,0,0,0,0,0
11/10/2021 01:55,11/10/2021 02:55,22930,LBS15_ButterHill_Path_LHS_S53,in,0,0,0,0,0,0
11/10/2021 01:55,11/10/2021 02:55,22930,LBS15_ButterHill_Path_LHS_S53,out,0,0,0,0,0,0
11/10/2021 01:55,11/10/2021 02:55,22932,LBS15_ButterHill_Path_RHS_S53,in,0,0,0,0,0,0
11/10/2021 01:55,11/10/2021 02:55,22932,LBS15_ButterHill_Path_RHS_S53,out,0,0,0,0,0,0
11/10/2021 01:55,11/10/2021 02:55,22931,LBS15_ButterHill_Road_S53,in,0,0,0,0,0,0
11/10/2021 01:55,11/10/2021 02:55,22931,LBS15_ButterHill_Road_S53,out,0,0,0,0,0,0
11/10/2021 02:00,11/10/2021 03:00,22933,LBS15_ButterHill_Crossing_S53,in,0,0,0,0,0,0
11/10/2021 02:00,11/10/2021 03:00,22933,LBS15_ButterHill_Crossing_S53,out,0,0,0,0,0,0
11/10/2021 02:00,11/10/2021 03:00,22930,LBS15_ButterHill_Path_LHS_S53,in,0,0,0,0,0,0
11/10/2021 02:00,11/10/2021 03:00,22930,LBS15_ButterHill_Path_LHS_S53,out,0,0,0,0,0,0
11/10/2021 02:00,11/10/2021 03:00,22932,LBS15_ButterHill_Path_RHS_S53,in,0,0,0,0,0,0
11/10/2021 02:00,11/10/2021 03:00,22932,LBS15_ButterHill_Path_RHS_S53,out,0,0,0,0,0,0
11/10/2021 02:00,11/10/2021 03:00,22931,LBS15_ButterHill_Road_S53,in,0,0,0,0,0,0
11/10/2021 02:00,11/10/2021 03:00,22931,LBS15_ButterHill_Road_S53,out,0,0,0,0,0,0
11/10/2021 02:05,11/10/2021 03:05,22933,LBS15_ButterHill_Crossing_S53,in,0,0,0,0,0,0
11/10/2021 02:05,11/10/2021 03:05,22933,LBS15_ButterHill_Crossing_S53,out,0,0,0,0,0,0
11/10/2021 02:05,11/10/2021 03:05,22930,LBS15_ButterHill_Path_LHS_S53,in,0,0,0,0,0,0
11/10/2021 02:05,11/10/2021 03:05,22930,LBS15_ButterHill_Path_LHS_S53,out,0,0,0,0,0,0
