UTC Time,Local Time (Sensor),countlineId,countlineName,direction,Car,Pedestrian,Cyclist,Motorbike,Bus,OGV1,OGV2,LGV,,cars
22/08/2021 00:00,22/08/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,in,65,13,2,3,0,1,0,6,,in
22/08/2021 00:00,22/08/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,out,25,15,2,0,0,0,0,4,,
23/08/2021 00:00,23/08/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,in,46,17,9,1,0,1,0,5,,in
23/08/2021 00:00,23/08/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,out,20,43,2,2,0,0,0,6,,
24/08/2021 00:00,24/08/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,in,25,18,7,3,0,0,0,6,,in
24/08/2021 00:00,24/08/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,out,22,21,2,2,0,0,0,9,,
25/08/2021 00:00,25/08/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,in,53,9,6,2,0,0,0,9,,in
25/08/2021 00:00,25/08/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,out,31,14,0,3,0,0,0,6,,
26/08/2021 00:00,26/08/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,in,35,12,1,1,0,0,0,6,,in
26/08/2021 00:00,26/08/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,out,30,25,1,1,0,0,0,5,,
27/08/2021 00:00,27/08/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,in,117,15,1,2,0,0,0,10,,in
27/08/2021 00:00,27/08/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,out,26,24,4,4,0,0,0,7,,
28/08/2021 00:00,28/08/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,in,73,17,0,2,0,0,0,2,,in
28/08/2021 00:00,28/08/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,out,33,21,1,3,0,1,0,3,,
29/08/2021 00:00,29/08/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,in,114,34,2,3,0,3,1,8,,in
29/08/2021 00:00,29/08/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,out,37,37,1,6,0,1,0,5,,
30/08/2021 00:00,30/08/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,in,38,20,3,2,0,2,0,6,,in
30/08/2021 00:00,30/08/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,out,24,39,7,8,0,2,1,8,,
31/08/2021 00:00,31/08/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,in,40,19,2,4,0,0,0,9,,in
31/08/2021 00:00,31/08/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,out,31,25,1,1,0,1,0,10,,
01/09/2021 00:00,01/09/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,in,27,10,1,1,0,0,0,12,,out
01/09/2021 00:00,01/09/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,out,29,17,4,1,0,0,0,10,,
02/09/2021 00:00,02/09/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,in,30,13,2,1,1,0,0,6,,in
02/09/2021 00:00,02/09/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,out,26,17,1,0,0,0,0,9,,
03/09/2021 00:00,03/09/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,in,47,19,1,2,1,0,6,11,,in
03/09/2021 00:00,03/09/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,out,28,18,1,1,0,1,0,7,,
04/09/2021 00:00,04/09/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,in,69,16,2,5,1,1,6,31,,in
04/09/2021 00:00,04/09/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,out,36,33,2,2,0,0,0,6,,
05/09/2021 00:00,05/09/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,in,76,26,3,2,0,0,6,20,,in
05/09/2021 00:00,05/09/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,out,40,33,2,1,0,0,0,7,,
06/09/2021 00:00,06/09/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,in,34,30,0,3,0,1,0,4,,out
06/09/2021 00:00,06/09/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,out,34,35,1,2,1,0,0,7,,
07/09/2021 00:00,07/09/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,in,38,17,1,2,0,0,0,2,,in
07/09/2021 00:00,07/09/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,out,30,21,1,1,0,0,0,2,,
08/09/2021 00:00,08/09/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,in,40,14,2,0,0,0,0,6,,in
08/09/2021 00:00,08/09/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,out,21,20,0,0,0,0,0,8,,
09/09/2021 00:00,09/09/2021 01:00,23743,L16_ApeldoornDr_road_and_paths_s144,in,31,15,1,2,0,1,0,3,,in
