UTC Time,Local Time (Sensor),countlineName,direction,Car,Pedestrian,Cyclist,Motorbike,Bus,OGV1,OGV2,LGV,,
22/10/2021 09:45,22/10/2021 10:45,L16_ApeldoornDr_road_and_paths_s144,out,0,0,0,0,0,0,0,0,,
22/10/2021 10:00,22/10/2021 11:00,L16_ApeldoornDr_road_and_paths_s144,in,20,0,0,0,0,0,0,0,,
22/10/2021 10:00,22/10/2021 11:00,L16_ApeldoornDr_road_and_paths_s144,out,1,0,0,0,0,0,0,0,,
22/10/2021 10:15,22/10/2021 11:15,L16_ApeldoornDr_road_and_paths_s144,in,13,4,1,0,0,0,0,1,,
22/10/2021 10:15,22/10/2021 11:15,L16_ApeldoornDr_road_and_paths_s144,out,0,6,0,0,0,0,0,1,,
22/10/2021 10:30,22/10/2021 11:30,L16_ApeldoornDr_road_and_paths_s144,in,7,0,0,0,0,0,0,0,,
22/10/2021 10:30,22/10/2021 11:30,L16_ApeldoornDr_road_and_paths_s144,out,1,0,0,0,0,0,0,0,,
22/10/2021 10:45,22/10/2021 11:45,L16_ApeldoornDr_road_and_paths_s144,in,1,1,0,0,0,0,0,1,,
22/10/2021 10:45,22/10/2021 11:45,L16_ApeldoornDr_road_and_paths_s144,out,0,0,0,0,0,0,0,1,,
22/10/2021 11:00,22/10/2021 12:00,L16_ApeldoornDr_road_and_paths_s144,in,4,1,0,0,0,0,0,0,,
22/10/2021 11:00,22/10/2021 12:00,L16_ApeldoornDr_road_and_paths_s144,out,0,0,0,0,0,0,0,0,,
22/10/2021 11:15,22/10/2021 12:15,L16_ApeldoornDr_road_and_paths_s144,in,4,0,0,0,0,0,0,0,,
22/10/2021 11:15,22/10/2021 12:15,L16_ApeldoornDr_road_and_paths_s144,out,0,0,0,0,0,0,0,1,,
22/10/2021 11:30,22/10/2021 12:30,L16_ApeldoornDr_road_and_paths_s144,in,1,0,0,0,0,0,0,0,,
22/10/2021 11:30,22/10/2021 12:30,L16_ApeldoornDr_road_and_paths_s144,out,0,0,0,0,0,0,0,0,,
22/10/2021 11:45,22/10/2021 12:45,L16_ApeldoornDr_road_and_paths_s144,in,1,1,0,0,0,0,0,0,,
22/10/2021 11:45,22/10/2021 12:45,L16_ApeldoornDr_road_and_paths_s144,out,1,3,0,0,0,0,0,0,,
22/10/2021 12:00,22/10/2021 13:00,L16_ApeldoornDr_road_and_paths_s144,in,0,0,0,0,0,0,0,0,,
22/10/2021 12:00,22/10/2021 13:00,L16_ApeldoornDr_road_and_paths_s144,out,0,0,0,0,0,0,0,0,,
22/10/2021 12:15,22/10/2021 13:15,L16_ApeldoornDr_road_and_paths_s144,in,0,2,0,0,0,0,0,0,,
22/10/2021 12:15,22/10/2021 13:15,L16_ApeldoornDr_road_and_paths_s144,out,0,1,0,0,0,0,0,0,,
22/10/2021 12:30,22/10/2021 13:30,L16_ApeldoornDr_road_and_paths_s144,in,0,0,0,0,0,0,0,0,,
22/10/2021 12:30,22/10/2021 13:30,L16_ApeldoornDr_road_and_paths_s144,out,0,0,0,0,0,0,0,0,,
22/10/2021 12:45,22/10/2021 13:45,L16_ApeldoornDr_road_and_paths_s144,in,3,0,0,1,0,0,0,0,,
22/10/2021 12:45,22/10/2021 13:45,L16_ApeldoornDr_road_and_paths_s144,out,0,0,0,0,0,0,0,0,,
22/10/2021 13:00,22/10/2021 14:00,L16_ApeldoornDr_road_and_paths_s144,in,4,0,0,0,0,0,0,0,,
22/10/2021 13:00,22/10/2021 14:00,L16_ApeldoornDr_road_and_paths_s144,out,0,0,0,0,0,0,0,0,,
22/10/2021 13:15,22/10/2021 14:15,L16_ApeldoornDr_road_and_paths_s144,in,2,0,0,0,0,0,0,0,,
22/10/2021 13:15,22/10/2021 14:15,L16_ApeldoornDr_road_and_paths_s144,out,0,0,0,0,0,0,0,0,,
22/10/2021 13:30,22/10/2021 14:30,L16_ApeldoornDr_road_and_paths_s144,in,1,0,0,0,0,0,0,0,,
22/10/2021 13:30,22/10/2021 14:30,L16_ApeldoornDr_road_and_paths_s144,out,0,0,0,0,0,0,0,0,,
22/10/2021 13:45,22/10/2021 14:45,L16_ApeldoornDr_road_and_paths_s144,in,1,0,0,0,0,0,0,0,,
22/10/2021 13:45,22/10/2021 14:45,L16_ApeldoornDr_road_and_paths_s144,out,0,1,0,0,0,0,0,0,,
